"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0055092","sterol homeostasis",99,-0.407501033390774,-1.97452672757798,7.64808265088727e-06,0.000264929583026735,0.000210420030346817,3572,"tags=36%, list=12%, signal=32%","9572/64240/84263/29881/9971/7555/7494/25987/9734/23411/64241/9420/8647/64137/6095/338/51/19/84649/3990/2538/257194/4547/9388/158219/27329/345/335/54206/116519/3949/2053/6296/51302/3931/1071"
"GO:1901616","organic hydroxy compound catabolic process",60,-0.497344914414483,-2.05880003460624,8.61071614962962e-06,0.000296580461926447,0.000235558706150753,2001,"tags=42%, list=7%, signal=39%","1593/1312/4051/66002/27284/4129/2184/6652/26007/6817/6783/6822/197257/219/8630/54363/8529/217/1576/6718/1579/127/51302/1621/8074"
"GO:0048665","neuron fate specification",35,0.729956183746226,1.92073530149937,8.94525798907501e-06,0.000306362451580637,0.000243328040690033,4973,"tags=54%, list=16%, signal=45%","6495/3110/3236/3226/64843/8022/5454/167826/4821/2138/6656/54845/30012/10919/6662/63950/3670/58524/54738"
"GO:0042119","neutrophil activation",43,-0.562367091283711,-2.31986022254737,9.08755931777531e-06,0.000309487553844685,0.000245810149730954,4319,"tags=42%, list=14%, signal=36%","7305/2207/6688/3603/403313/7124/306/8807/10394/4615/11314/820/84106/2213/11027/2204/3579/1776"
"GO:0046889","positive regulation of lipid biosynthetic process",90,-0.426132588668254,-2.0584165658532,9.87233762032014e-06,0.000334335813711624,0.000265545852839426,3881,"tags=32%, list=13%, signal=28%","9444/207/9572/654/5562/9971/8850/26137/7494/7124/1389/10580/11261/64137/85414/3356/57406/9104/83643/133/116519/3949/3553/3491/5105/84879/345275/5743/552"
"GO:0071276","cellular response to cadmium ion",26,-0.673594246670636,-2.36015166683733,1.11161203018388e-05,0.000374366229276372,0.00029733996643632,2243,"tags=50%, list=7%, signal=46%","64116/1536/4489/3162/4499/4501/4502/4495/4493/645745/4494/4496/1544"
"GO:0042632","cholesterol homeostasis",98,-0.413913057425198,-1.98162429472991,1.14089392060863e-05,0.000382104914183951,0.000303486408424767,3572,"tags=37%, list=12%, signal=33%","9572/64240/84263/29881/9971/7555/7494/25987/9734/23411/64241/9420/8647/64137/6095/338/51/19/84649/3990/2538/257194/4547/9388/158219/27329/345/335/54206/116519/3949/2053/6296/51302/3931/1071"
"GO:0021520","spinal cord motor neuron cell fate specification",10,0.908793045625999,1.91883448430486,1.1794356031544e-05,0.000392842781666041,0.000312014947879017,932,"tags=60%, list=3%, signal=58%","3110/3236/3226/64843/8022/167826"
"GO:0042472","inner ear morphogenesis",107,0.57756634216154,1.69748391128724,1.19069125038276e-05,0.000394424609826244,0.000313271313157937,5358,"tags=38%, list=18%, signal=32%","1280/89780/1750/6495/1749/5013/115908/340784/51804/124590/161497/1301/2637/10083/2138/2048/3167/5396/5754/5456/7020/8557/219736/51761/259236/525/25861/79955/55584/7849/23513/6662/497189/2535/2487/9096/5076/1856/222662/8323/6678"
"GO:0009069","serine family amino acid metabolic process",32,-0.623014273729361,-2.33849805485418,1.2035148108224e-05,0.000395356237944211,0.000314011257767425,3497,"tags=56%, list=12%, signal=50%","570/2653/10993/1491/51380/2731/875/1036/189/4522/10247/6470/29968/54363/26227/102724560/64902/10249"
